[pec 98/2007]: Conhecida como PEC da Música. Altera a Constituição Federal de 1988. 
Ementa: Acrescenta a alínea "e" ao inciso VI do art. 150 da Constituição Federal, instituindo imunidade tributária sobre os Fonogramas e Videofonogramas musicais produzidos no Brasil, contendo obras musicais ou lítero-musicais de autores brasileiros, e/ou obras em geral interpretadas por artistas brasileiros, bem como os suportes materiais ou arquivos digitais que os contenham. 
Situação: MESA - Aguardando Retorno 
************
PR: 	 Sim: 1 	 Não: 26 	 Abstenções: 0
PSDB: 	 Sim: 1 	 Não: 0 	 Abstenções: 1
PP: 	 Sim: 1 	 Não: 27 	 Abstenções: 0
PV: 	 Sim: 1 	 Não: 8 	 Abstenções: 0
PT: 	 Sim: 0 	 Não: 78 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 7 	 Abstenções: 0
PSB: 	 Sim: 1 	 Não: 27 	 Abstenções: 0
PSC: 	 Sim: 0 	 Não: 12 	 Abstenções: 0
PDT: 	 Sim: 2 	 Não: 21 	 Abstenções: 0
PTC: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTB: 	 Sim: 1 	 Não: 16 	 Abstenções: 0
PSD: 	 Sim: 0 	 Não: 40 	 Abstenções: 0
PCdoB: 	 Sim: 0 	 Não: 10 	 Abstenções: 0
PRTB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PRP: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 1 	 Abstenções: 0
DEM: 	 Sim: 0 	 Não: 0 	 Abstenções: 0
PSOL: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 0 	 Não: 2 	 Abstenções: 0
PMDB: 	 Sim: 0 	 Não: 74 	 Abstenções: 0
************
[8/11/2011, 01:31] Aprovada a Proposta de Emenda à Constituição n.º 61/11, ressalvados os destaques. Sim: 369; não: 44; total: 413.
PCdoB: 	 Sim: 11 	 Não: 0 	 Abstenções: 0
DEM: 	 Sim: 0 	 Não: 12 	 Abstenções: 0
PMDB: 	 Sim: 77 	 Não: 0 	 Abstenções: 0
PR: 	 Sim: 28 	 Não: 3 	 Abstenções: 0
PP: 	 Sim: 29 	 Não: 1 	 Abstenções: 0
PV: 	 Sim: 8 	 Não: 1 	 Abstenções: 0
PT: 	 Sim: 82 	 Não: 0 	 Abstenções: 0
PRB: 	 Sim: 8 	 Não: 0 	 Abstenções: 0
PTC: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTB: 	 Sim: 14 	 Não: 2 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PRP: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 2 	 Não: 0 	 Abstenções: 0
PSDB: 	 Sim: 0 	 Não: 20 	 Abstenções: 0
PDT: 	 Sim: 21 	 Não: 2 	 Abstenções: 0
PRTB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTdoB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSB: 	 Sim: 27 	 Não: 1 	 Abstenções: 0
PSC: 	 Sim: 13 	 Não: 0 	 Abstenções: 0
PSD: 	 Sim: 42 	 Não: 0 	 Abstenções: 0
PHS: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSOL: 	 Sim: 1 	 Não: 2 	 Abstenções: 0
************
[8/11/2011, 02:02] Mantido o texto. Sim: 347; não: 43; total: 390.
PCdoB: 	 Sim: 11 	 Não: 0 	 Abstenções: 0
DEM: 	 Sim: 0 	 Não: 10 	 Abstenções: 0
PMDB: 	 Sim: 74 	 Não: 0 	 Abstenções: 0
PR: 	 Sim: 24 	 Não: 3 	 Abstenções: 0
PP: 	 Sim: 26 	 Não: 1 	 Abstenções: 0
PV: 	 Sim: 9 	 Não: 0 	 Abstenções: 0
PT: 	 Sim: 80 	 Não: 0 	 Abstenções: 0
PRB: 	 Sim: 8 	 Não: 0 	 Abstenções: 0
PTC: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTB: 	 Sim: 14 	 Não: 1 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 3 	 Abstenções: 0
PRP: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 2 	 Não: 0 	 Abstenções: 0
PSDB: 	 Sim: 0 	 Não: 19 	 Abstenções: 0
PDT: 	 Sim: 21 	 Não: 1 	 Abstenções: 0
PRTB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTdoB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSB: 	 Sim: 23 	 Não: 2 	 Abstenções: 0
PSC: 	 Sim: 10 	 Não: 0 	 Abstenções: 0
PSD: 	 Sim: 39 	 Não: 0 	 Abstenções: 0
PHS: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSOL: 	 Sim: 0 	 Não: 3 	 Abstenções: 0
************
[8/11/2011, 02:21] Rejeitada a expressão constante da Emenda n.º 2. Sim: 46; não: 333; abstenção: 01; total: 380.
PCdoB: 	 Sim: 0 	 Não: 11 	 Abstenções: 0
DEM: 	 Sim: 11 	 Não: 0 	 Abstenções: 1
PMDB: 	 Sim: 0 	 Não: 72 	 Abstenções: 0
PR: 	 Sim: 3 	 Não: 23 	 Abstenções: 0
PP: 	 Sim: 1 	 Não: 21 	 Abstenções: 0
PV: 	 Sim: 0 	 Não: 9 	 Abstenções: 0
PT: 	 Sim: 0 	 Não: 80 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 6 	 Abstenções: 0
PTC: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTB: 	 Sim: 2 	 Não: 13 	 Abstenções: 0
PPS: 	 Sim: 3 	 Não: 1 	 Abstenções: 0
PRP: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PMN: 	 Sim: 1 	 Não: 1 	 Abstenções: 0
PSDB: 	 Sim: 19 	 Não: 1 	 Abstenções: 0
PDT: 	 Sim: 2 	 Não: 18 	 Abstenções: 0
PRTB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSB: 	 Sim: 1 	 Não: 25 	 Abstenções: 0
PSC: 	 Sim: 0 	 Não: 10 	 Abstenções: 0
PSD: 	 Sim: 0 	 Não: 37 	 Abstenções: 0
PHS: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSOL: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
************
[9/11/2011, 15:40] Rejeitado o Requerimento. Sim: 13; não: 261; abstenção: 01; total: 275.
PR: 	 Sim: 0 	 Não: 21 	 Abstenções: 0
PSDB: 	 Sim: 4 	 Não: 0 	 Abstenções: 1
PP: 	 Sim: 1 	 Não: 21 	 Abstenções: 0
PV: 	 Sim: 0 	 Não: 6 	 Abstenções: 0
PSL: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PT: 	 Sim: 0 	 Não: 60 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 5 	 Abstenções: 0
PSB: 	 Sim: 0 	 Não: 20 	 Abstenções: 0
PSC: 	 Sim: 0 	 Não: 10 	 Abstenções: 0
PDT: 	 Sim: 2 	 Não: 13 	 Abstenções: 0
PTC: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTB: 	 Sim: 1 	 Não: 12 	 Abstenções: 0
PSD: 	 Sim: 0 	 Não: 29 	 Abstenções: 0
PCdoB: 	 Sim: 0 	 Não: 8 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
DEM: 	 Sim: 2 	 Não: 1 	 Abstenções: 0
PHS: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSOL: 	 Sim: 2 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PMDB: 	 Sim: 0 	 Não: 50 	 Abstenções: 0
************
[9/11/2011, 16:39] Rejeitada a expressão constante da Emenda nº 4. Sim: 43; não: 267; total: 310.
PR: 	 Sim: 2 	 Não: 23 	 Abstenções: 0
PSDB: 	 Sim: 26 	 Não: 0 	 Abstenções: 0
PP: 	 Sim: 1 	 Não: 20 	 Abstenções: 0
PV: 	 Sim: 0 	 Não: 8 	 Abstenções: 0
PSL: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PT: 	 Sim: 0 	 Não: 61 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 8 	 Abstenções: 0
PSB: 	 Sim: 1 	 Não: 19 	 Abstenções: 0
PSC: 	 Sim: 0 	 Não: 7 	 Abstenções: 0
PDT: 	 Sim: 1 	 Não: 15 	 Abstenções: 0
PTB: 	 Sim: 1 	 Não: 13 	 Abstenções: 0
PSD: 	 Sim: 1 	 Não: 30 	 Abstenções: 0
PCdoB: 	 Sim: 0 	 Não: 8 	 Abstenções: 0
PPS: 	 Sim: 2 	 Não: 1 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
DEM: 	 Sim: 5 	 Não: 1 	 Abstenções: 0
PHS: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSOL: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 0 	 Não: 2 	 Abstenções: 0
PMDB: 	 Sim: 0 	 Não: 48 	 Abstenções: 0
************
[9/11/2011, 17:27] Mantida a expressão. Sim: 344; não: 53; abstenção: 02; total: 399.
PCdoB: 	 Sim: 11 	 Não: 0 	 Abstenções: 0
DEM: 	 Sim: 4 	 Não: 18 	 Abstenções: 0
PMDB: 	 Sim: 66 	 Não: 0 	 Abstenções: 0
PR: 	 Sim: 29 	 Não: 2 	 Abstenções: 0
PP: 	 Sim: 28 	 Não: 1 	 Abstenções: 0
PV: 	 Sim: 9 	 Não: 1 	 Abstenções: 0
PT: 	 Sim: 81 	 Não: 0 	 Abstenções: 0
PRB: 	 Sim: 8 	 Não: 1 	 Abstenções: 0
PTC: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTB: 	 Sim: 16 	 Não: 0 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 3 	 Abstenções: 0
PMN: 	 Sim: 2 	 Não: 0 	 Abstenções: 0
PSDB: 	 Sim: 0 	 Não: 19 	 Abstenções: 0
PDT: 	 Sim: 17 	 Não: 4 	 Abstenções: 2
PRTB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTdoB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSL: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSB: 	 Sim: 23 	 Não: 1 	 Abstenções: 0
PSC: 	 Sim: 8 	 Não: 0 	 Abstenções: 0
PSD: 	 Sim: 36 	 Não: 0 	 Abstenções: 0
PHS: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSOL: 	 Sim: 0 	 Não: 3 	 Abstenções: 0
************
[9/11/2011, 18:30] Mantido o texto. Sim: 347; não: 56; abstenção: 01; total: 404.
PCdoB: 	 Sim: 9 	 Não: 0 	 Abstenções: 0
DEM: 	 Sim: 2 	 Não: 9 	 Abstenções: 0
PMDB: 	 Sim: 74 	 Não: 0 	 Abstenções: 0
PR: 	 Sim: 32 	 Não: 3 	 Abstenções: 0
PP: 	 Sim: 27 	 Não: 1 	 Abstenções: 0
PV: 	 Sim: 8 	 Não: 0 	 Abstenções: 0
PT: 	 Sim: 76 	 Não: 0 	 Abstenções: 0
